coop_cost,defector_drain,multicellular_pct
0.0,0.0,0.8071216617210683
0.0,1.0,0.7827715355805244
0.0,2.0,0.6859205776173285
0.0,3.0,0.6631944444444444
0.0,4.0,0.6477987421383647
0.0,5.0,0.627831715210356
0.6,0.0,0.7651515151515151
0.6,1.0,0.6426332288401254
0.6,2.0,0.6410256410256411
0.6,3.0,0.5743944636678201
0.6,4.0,0.5173501577287066
0.6,5.0,0.613013698630137
1.2,0.0,0.7226666666666667
1.2,1.0,0.7112970711297071
1.2,2.0,0.6730769230769231
1.2,3.0,0.6516393442622951
1.2,4.0,0.6539792387543253
1.2,5.0,0.5867158671586716
1.7999999999999998,0.0,0.7586206896551724
1.7999999999999998,1.0,0.6293436293436293
1.7999999999999998,2.0,0.5951417004048583
1.7999999999999998,3.0,0.620817843866171
1.7999999999999998,4.0,0.5070921985815603
1.7999999999999998,5.0,0.6206896551724138
2.4,0.0,0.712082262210797
2.4,1.0,0.6174242424242424
2.4,2.0,0.5327510917030568
2.4,3.0,0.5546875
2.4,4.0,0.6622516556291391
2.4,5.0,0.4434389140271493
3.0,0.0,0.6495726495726496
3.0,1.0,0.4583333333333333
3.0,2.0,0.5197368421052632
3.0,3.0,0.4857142857142857
3.0,4.0,0.39037433155080214
3.0,5.0,0.4301675977653631
